Subject,Character,Text
SID000120,TyraCollette,so Tyra is a girlfriend at first of Tim Riggins ... but she doesn't seem to be particularly wedded to that label she seems like she is very sex positive and very much enjoys  and she's very pretty and people notice this specifically Smash seems to have a thing for her and they hook up at some point in the show and she actively tries to get Jason to notice her which doesn't make Lyla very happy  and so you know her personality is kind of introduced to you on this sort of weird makes you think she's being easy  which is a label that I don't like but really what  she seems very confident in herself she's very confident in herself and her relationships with people  but it also does seem like she genuinely cares all the people that she interacts with specifically Tim when she tries to open him and hope  with Jason when she actually does go visit Jason for you know for Tim to tell Jason you know that the things that Tim is going through which Tim which Tim has never actually communicated with her but she sort of knows because she she does actually you now care about him and sees you know the nature of his personality  she is she doesn't seem like a it seems like her main friends are are Tim and Jason and you  sort of see her interactions with other girls sometimes but mostly in a sort of antagonistic way
SID000791,BuddyGarrity,"So Buddy Garrity is sort of a good old boy I have to say is actually not one of my favorite characters he seems super invested in whether the football team is winning sort of at the expense of other things he's pretty engaged and interventionist with the new coach and insisting on how things should be done and run with the team and when the 
 quarterback gets injured he's quite proactive in going out to find a new quarterback who ends up being a kid who's been displaced by Katrina and this guy does go out of his way to engage with the the kids and bring them onto the team but it seems like it's probably on the edge or maybe over the line of violating recruiting laws and yet he makes all sorts of promises to this kid and to the kids 
 family about helping them you know find a job and welcoming them into the community and things that are ya know...seem like they'd be quite nice but are very much geared toward bottom-line winning and he often seems like he's around when something's going wrong that he's around to see players walk off the field during practice or when people are playing well. On the other side he is Lyla's dad and seems
 actually quite supportive of her decision making and said she has a good head on her shoulders and she'll figure out the right thing to do with her and now paralyzed boyfriend"
SID000791,CoachTaylor,"Coach Taylor is one of the central characters in the series. He recently was promoted to head football coach at this local... of this local town probably in part because he was the coach... long-time coach of their star quarterback and so this is his first year in that position and he really flips back and forth between being sort of a hard-ass... hardliner and being more thoughtful and ya know
 softer so he's really struggling to win the respect of the community and players. There are lots of people in town that want to tell him how to do his job and especially when things aren't going well to be right there to critique and at the same time he's trying to build the team which does through a combination of yelling and screaming and pushing them harder and also and being engaged and supportive of some of the players so for example he really goes 
 to the hospital to visit the injured start... starting quarterback and takes the time to pick up the new quarterback at the hospital after he's injured and beat up by local kids. He also has a diverse relationship with his wife she's really in a supporting role to this new Coach position and so he appreciates that and occasionally 
 really takes a moment to stop and really thank her for what she's doing and then they're also stressed about finances and having a life in that town and so sometimes he's supportive and sometimes he's short their... to their...yeah just a diversity of things that you can get from him"
SID000791,JasonStreet,"so Jason was the star starting quarterback for this school's football team but in the first game of the season things weren't going quite as well as it seemed like they should and he took a really bad hit and ended up on the ground not able to move and they came with a structure and took him to the hospital and it turned out that his back was broken in such a way that he was
 paralyzed from the waist down and had trouble using his hands so for most of the episodes he's actually in the hospital where various people will come to visit him but you know he's not able to really move or interact very much... well he's able to interact but not to...to act I guess... so a lot of the drama is about coming to accept the
 the change in his life goals that he was thinking ya know big name College and then maybe going pro and he realizes perhaps faster than his girlfriend that that's probably not an option for him anymore but he really thinks kindly or magnanimously to continue to support the team and the new quarterback and wants to watch the games and is not overtly bitter about the... the change in his life, especially toward
 his team and teammates and he goes through some... some ups and downs in the rehab process ya know... there's a scene where he's just too tired and doesn't want to keep trying and continue...and there's also scenes where ya know he's really going above and beyond what he should do in order to be happy and get better"
SID000791,JulieTaylor,"so I'm a little bit confused about who this character is I think or thought that she was the Coach's daughter but I realize he's Coach Garrity and she's Julie Taylor so maybe... maybe it's not who I think it is but anyway if it's the coach's daughter she's a... she's a fun character. She seems to be both interested in what's going on and occasionally resentful of how it impacts her life so it seems like they might have just moved 
 2 to town recently or have been thrust in the new prominence in the town by her dad's coaching position and so sometimes she's his ally and accomplice. Sometimes she's walking out because he doesn't remember when she has a dance recital or they're throwing a big party at the house and she seems a little bit romantically interested in the new quarterback the person who is sort of the focal 
 character in the show and it's just sort of a passing... passing interest at first but towards the end of the episodes the... she was having a dance recital and the new quarterback was injured... was beat up by kids from the other school so the coach picked him up at the hospital and brought them to the dance recital and so he was there after the recital and they started talking
 and the coach had just told the new quarterback that ya know he really needed to get essentially get a girlfriend get her in the back of the car and do you have somebody you're interested in not realizing that if he was interested in anybody it was the coach's daughter until toward the end of episode. The coach looks over and realizes what might be happening between his daughter and his quarterback"
SID000791,LandryClarke,"so unfortunately I don't remember too much about this character either but he's sort of the sidekick to the new HomeTown replacement quarterback and the scene I most remember is when the two of them are sitting in the diner or something like that and one of the valley girls comes up and says something like now that you're... to his friend...the new quarterback... now that you're a first string quarterback you get a first string valley girl you know what sort of baked good or what treat do you want
 before the game and the new quarterback just seems sort of taken aback and overwhelmed and his friend Dylan is like this is awesome why aren't you going with it. This is the best route to get girls it's not going to last forever like we should make the most of this while it happens. Yeah and I think he's also in some of the general social scenes but I don't remember a lot else about him"
SID000791,LylaGarrity,"so Lyla is a cheerleader at the... for the football team where the action happens and she is dating what used to be the star quarterback for this team and in the first game of the season he was hit and badly para... or badly injured and he is now paralyzed and she is in continuing to be very engaged with him and spending a lot of time with him at the hospital. She even goes and spends
 her birthday there at the hospital with him and it's very committed to the idea that he's going to be recover and recover fully and as they continue down this path they eventually have an argument about whether... where he tells her that he's not going to recover and it's... it's a fake dream and that she needs to be realistic and that he  just needs her to go away and then she...I think she does but she 
 then comes back the next day when he gets moved to rehab and continues to be engaged and supportive of him and she's also trying to convince his best friend to come and visit him and at one point she encounters his best friend... his best friend is walking along the road on the way home from football practice and she stops and asks him and starts to talk about their... her boyfriend... his friend
 and tries to convince him to go visit but ends up kissing the friend and then feels just awful about it and the friends appears actually be interested in her and she says it's just a displacement of her feelings for her boyfriend and so they...I think that's about where we leave them... She's the daughter of the the booster guy who's so interested in seeing the team win"
SID000791,MattSaracen,"so Matt is a sophomore who has been the second string quarterback and really hasn't gotten any playing time until the first string quarterback gets hurt right at the end of the... toward the end of the first game of the season and so Matt gets called on to come into the game and plays pretty badly at first but then actually does quite well toward the end and so by, just by default he's now 
 the quarterback for a team where the whole town cares about football and he's sort of been... sort of a kid that's hiding some private struggles he lives with his grandmother who suffers from some sort of Alzheimer's or dementia and his dad's in Iraq there's no evidence that there are other family adults in his life so he's the primary caretaker for his grandmother who provides some 
 parental care or guidance but he's also quite responsible for making sure that she's taking her medication and when she wanders off and retrieving her and getting her settled and comfortable again so  he has quite a bit going on at home and then suddenly he's in a prominent football role and I think... at  first he and everybody else thought that he might be happy to be out of that role but it seems like as time goes on he's excited about it even when others...ya know...
 so he's suddenly quite invested in keeping this role rather than just letting either a new quarterback come in and take it. Also he's interested in the coach's daughter and just started finding his way into the high school scene he gets coaxed along by other kids to come and destroy the car of the opposing football team but seems to actually get enjoyment out of it"
SID000791,SmashWilliams,"so Smash seems like a pretty decent guy but he has a lot of teenage extra energy tendency to push the edge so sort of say things maybe he shouldn't or take things a little farther than they should go so maybe most memorably he was doing some televised interview he's a member of the football team and they were asking him about the coach and he expressed some lack of confidence in the
 coach and the coach is watching television and saw the broadcast and called up and got everybody out of bed for an extra hard practice but that seemed to I think win him...win the coach some respect. Williams yeah seems like a dedicated good football player and also a little bit prone to get in trouble so when their locker room was trashed by the opposing team and the coach said 
 absolutely no retalliation I think Williams was part of the contingent that went and found the car of the opposing schools quarterback and they did a lot of damage to it. Beyond that he's just a general member of the social scene and tends to...like in the diner scenes push back a bit against the coach and yeah the...
 impressed by his own abilities but also reasonably committed to football and  to the team"
SID000791,TamiTaylor,"so Mrs. Taylor must be Julie Taylor's mom I must have had the last names wrong but she's the coach's wife and as such to sort of the first lady of football in this town but it's a role that she's not all that... she's conflicted about... it seems like they might be new to town he's definitely new to this job. They're...sounds like they're struggling a bit financially and trying to make ends meet while also being this suddenly very
 public figure and she's sort of a fun character for not having the natural push and pull of wanting to be supportive and helpful and play the role and also frustrated by the things that come with his position and what to ask so for example she gets pulled into the book club where it turns out that they don't actually read books but she gets put on all sorts of committees with the local ladies with the ya know super-polished look and the...
 you sit around and talk about everybody else's family and ya know what they're doing and then they are hosting the rival week week party at her house which she didn't exactly know what that was neither did the coach so neither of them saw it coming but it seems like he might have an idea that it's going to be a bigger event than she does so ultimately asks her to host and then 
 she agrees and just gets bigger and bigger and more of a demand and there again you have the the push-and-pull of her being supportive but also being frustrated and related to that she takes a job as the guidance counselor at the school where she's quite involved with the students and talking to them and giving him feedback on maybe how he should approach students as well"
SID000791,TimRiggins,"so this is the quarterback the Star Quarterback's best friend and he was sort of apathetic football player you know he was on the team he would go to practice but he usually not counting on football to make his career and he was teaching his friend about making it big and taking care of both of them but he was on the field at the time when his friend got hurt and watched that happened and is so shaken up that he hasn't
 been able to go and visit them but continues to come to football practice and one day the coach is really just railing on him and he takes off his helmet and walks off the field and one of the assistant... ya know the coach is ready to cut him from the team right there. One of the assistant coaches points out that he was actually blaming himself for the injury of his friend and so the coach for the moment lets him walk away and then
 later because of something else that happened in the plot they are having an expected late night practice that involves really extreme running up and down the hill and in the rain in the mud they're finishing up and getting back on the bus and Riggins is the last one to come to the bus the coach takes him aside and tells him that what happened is nobody's fault and he should listen to that but also that he still
 owes him a practice and he can walk home and so he's walking home when he runs into Layla his friend's girlfriend and they end up kissing by his car on the road or kissing by her car on the road on the way home and then he develops an interest in her but still hasn't been able to go visit"
SID000791,TyraCollette,"so I don't remember quite as much about Tyra I mostly know her as the girlfriend of the star quarterback's best friend and I think she mainly plays in that role in the series so that... the scene I remember best is the scene where she breaks off her relationship with a friend because he won't go and visit his friend and then later she goes to visit the hospitalized quarterback and 
 says that they don't know each other that well and she's not there to make it all better but just felt like she should come see him and interacts a bit with his new roommate who's sort of a character...the  guy is clearly impressed by her looks and wants to know what you do to get women like that to come visit you but I don't remember a lot of details about her involvement I think she's a friend of Layla's as well and part of 
 the general social scene"
SID000134,BuddyGarrity,"okay so Buddy Garrity is Lyla Garrity's father we don't know a ton about him although he is clearly heavily invested in the Panthers success. I'm not sure if he is...I dont think he's a coach or anything I'm not sure what his direct role is or I'm not sure if that's even a thing that we're aware of from the show yet but 
 we've seen him be very adamant about kind of winning at all costs sort of situation. Essentially he seems like a giant asshole so for example after the star quarterback is injured Buddy brings up this other character or this other player that is from New Orleans that was basically a refugee 
 from Katrina and is living in this... in this town but Buddy is trying to capitalize on this poor kid that was displaced because he's really good at this exact position at quarterback and just trying to bring him on to the team despite the fact that the rest of the team... I don't think really wants him there since he's just kind of shut up but
 Buddy is really pushing this because it seems like it's their chance at...at winning and he wants to win by any means necessary including replacing players that have been on the team for those that will... will get them to victory"
SID000134,CoachTaylor,"Alright Coach Taylor this coach is the coach of the Panthers and he seems to have the most important job in town so we know that he's been a coach for about 6 years with the Panthers but this is his first year as head coach and a lot of people seem to not be okay with that. A lot of the community seems to be doubting this coach and his ability  
 to effectively bring this team to succeed. We've seen a lot of you know hate kind of spread around so we've seen actually some violent acts where people have either thrown bricks through the window of his own home or have asked...have essentially cornered his daughter at a diner in one scene and asked when they plan to move out of town 
 and I think the... the negative impact of this entire town doubting the coach and doubting the presence of his basically his whole family in this town I think this is starting to wear on him a bit and it's starting to break him down. It's upsetting to watch I think he's really trying hard but it seems like everyone seems to be doubting him but my opinion
 that he is very effective. He seems to be very inspirational for these...for his team and I think he's really trying to do what's best for the team"
SID000134,JasonStreet,"Okay Jason street is the star quarterback for the Panthers. He seems to be the pride and joy of the town that they're in. Everyone seems to be kind of praising Jason as some God so of course when he gets injured during the first game of the season the whole
 town kind of just like has a massive freak out and no one really knows how to handle it. Right after he gets injured the whole stadium basically like launches into prayer and it's kind of weird and you know it's almost like this cult feeling where they're just like don't know what to do without Jason. Jason as a character I don't really like him. I think 
 you know that's maybe an unfavorable opinion everyone seems to be praising him but yeah he seems to just be this very kind of ego-driven kind of pompous asshole where you know everyone is kind of bowing down to him. After he gets injured I think he starts to face the reality of possible paralysis and starts to push away people like his girlfriend 
 Lyla and realizes that he is kind of screwed which is just unfortunate but he becomes maybe less of an asshole in those moments where he is starting to be humbled I guess...what else..."
SID000134,JulieTaylor,"okay Julie Taylor is coach Taylor's daughter she's tiny blonde girl that is very clearly she is like kind of tries to distance herself from the football players that might try to talk to her. She at one point says that she doesn't eat with football players and tries to seperate herself from
 that. However there seems to be some... some chemistry with Matt Saracen so we'll see about that. She put her... she does dance and we see that... so we see the tension that is kind of rising between her and her father the coach as the coach is facing 
 more and more pressure to do well with his team and it's putting... it's causing some distance I think between him and his daughter so I think she's trying to be as supportive as possible and you know doing things that she might need to do to help out for example and planning parties at their home for the... for the team but I think she is also 
 kind of upset about this strain on her relationship with her father as her almost misses her dance recital because of ... because of football practice"
SID000134,LandryClarke,"Alright Landry is one of the supporting characters so we don't know a lot about... we know that he is Matt Saracen's friend and probably main... probably best friend and main supporter. We... I believe first see Landry as he is the one driving Matt to football practice and kind of talking
 about whether or not Matt is going to be playing on the fields and it seems like Landry is really advocating for him and kind of being a cheerleader for him so that I think is his primary role in the show. We also know that he seems to be so he.. he at one point approaches Coach Taylor's daughter and seems to be attracted to her and
 ... tries to engage in some conversation with her and gets abruptly turned down. We know that he is an insomniac. We know that he has tried to suggest starting a Christian metal band I believe to Matt so seems a little bit of a crazy character maybe has some issues
 but we don't know a ton about his background"
SID000134,LylaGarrity,"Okay Lyla Garrity is a cheerleader she's cheerleads for the Panthers she is also to dating Jason Street and so of course she is heavily impacted and affected by Jason's injury in season 1. Lyla goes to the hospital everyday to visit him after his injury and it's clear that she is dangerously optimistic
s about his condition and keep believing that he's going to get better he's going to get better. Eventually the doctors explain that they don't believe that he's going to walk anymore and even after that she still kind of doesn't believe in things that you know the doctors don't know who Jason street is and and that you know she can expect some miracle and that everything's going to be fine and they're going to live happily ever after like they planned. She definitely seems to be living in some fantasy 
 which is really dangerous and her parents and everyone around her pick up on that and are discussing that in the show so for example her parents mention that she's not thinking about college she's not really thinking about her future she's put all of her eggs in one basket and they kind of take the blame for that thing that they've allowed her to do so. I think in episode 3 she eventually comes to realize that 
 maybe this is a problem and in frustration goes and talks to Riggins then ends up actually kissing him and I think there seems to be some tension between them now so you can see her trying to shift gears a little bit even though she still shows this optimism with Jason and they continue to interact in the show"
SID000134,MattSaracen,"All right Matt saracen is super sweet kid he is a sophomore I believe in high school he starts out in the beginning of the show as the backup quarterback of course after Jason Street has his injury. Matt ends up taking over and in the first main game when Jason has his
 accident Matt ends up basically bringing the team to Victory which is this huge you know celebratory thing and we realize maybe Matt is capable of taking this lead  quarterback role in the subsequent games. Unfortunately the team then loses the next game in part because of Matt and so as a result the town becomes very angry 
 with this poor kid and you know kind of trashes his lawn and and graffitis his little football player sign on his front lawn but it seems sort of sad or upsetting because I think this is a really sweet kid he takes care of his grandmother because his dad is away in Iraq in the military his mother clearly has some form or sorry his grandmother has some form of dementia and needs a lot of care 
 and Matt is the one to do it despite the fact that he is a high school student he's you know a quarterback on this team he's also got a job he's clearly got a lot going on and he's really trying his best to just do everything he can to keep everyone happy including Coach Taylor while doing the thing that he loves. He clearly has a crush on Tyra..or the Coach's daughter as well which complicates things a bit of course"
SID000134,SmashWilliams,"alright so we're first introduced to Smash Williams as he's being interviewed by a local some local news I believe and he is talking as if he was clearly a star player I believe he's the running back for the team and the... the reporter is asking him some questions about his family history which he very clearly and abrudtly turns
 turn down and gets agitated about those questions. He's also asked about some racism on the field which he kind of just accepts as something that isn't going to phase him I think it's what he says. As a player he seems to be very likeable in a sense that he is an advocate for the team and kind of this team bonding mentality
 suggesting that they function as a unit on the field he has a lot of issues and drama with this other character Riggins they clearly don't get along they clearly don't like each other. In my opinion it seems to be a little bit more one-sided towards Riggins not liking Smash however smash has also had some sort of interactions with
 Riggins' girlfriend which I'm sure didn't help the situation... what else..."
SID000134,TamiTaylor,"all right Tami Taylor is Coach Taylor's wife and also mother to Julie Taylor. She is probably Coach Taylor's biggest supporter and advocate and she really just tries to do everything that she can to... to make his life easier. However I think part of that is she recognizes the stress that this job is having on him and ends up taking 
 a job of her own to try to pick up the slack financially in their house so she gets a job as a guidance counselor which I think Coach Taylor isn't super happy about because that means they're working on the same building. She gets sucked into a book club with a lot of the the women in the community 
 which I think she's not super happy about it seems to be less of a book club and more of an excuse to hang out and drink wine and gossip which doesn't really seem to be her scene I don't think she's super into the town gossip especially when her husband is one of the key figures in... in that community so I think that's difficult for her she also at one point gets upset with her husband Coach Taylor as 
 he brings this like large party on her that she then of course has to plan and and cook for and again as I mentioned before since she's super supportive she kind of drops everything and make this happen but it definitely seems like she's being taken advantage of a bit and she rightfully gets upset about it and and kind of punches back and ends up getting in a fight with Coach Taylor which ultimately resolves"
SID000134,TimRiggins,"Riggins seems like a very polarizing character he is a lot more aggressive so we first meet Riggins as he wakes up from what looks like a massive hangover his brother is pushing him to get up and get ready for practice we don't ever see his parents so he seems to be mostly it seems to be 
 mostly his brother around kind of helping him out and Riggins is maybe even an alcoholic he's drinking a lot hurting a lot. Specifically he is hanging around with Jason Street a lot they seem to be best friends they're talking about life after high school and after the football career in high school so I think 
 Riggins is particularly affected by Jason Street's accident in the first episode. He has a hard time coping that refuses to go to the hospital to see his best friend I don't think he really knows how to deal with that starts drinking even more and this ends up pushing his girlfriend away Tyra and in the midst of this  
 Jason Street's girlfriend Lyla becomes upset and becomes frustrated with the fact that Riggins refuses to go see his friend they end up having a encounter which turns...well it starts out as frustration Lyla's frustrated with him and eventually they end up kissing which further separates him from Tyra"
SID000134,TyraCollette,"alright so Tyra doesn't play a role in the direct Panther community she's not a cheerleader or anything like that. She is just me a person in the community and she is dating Riggins so because of Riggins' drinking and all of this their relationship seems to be pretty complicated Tyra definitely seems like she needs a lot of attention. She's a bit of a bitch or a lot of a bitch maybe you know we've seen her calling other girls whores specifically Lyla so it seems like she may be jealous of Lyla and what she has 
 with Jason I think she's not getting that from Riggins and I think because of that she goes and seems to kind of cuddle up next to Smash a couple of times and 
 it's possible that she's doing that for attention it's possible that she's doing that to make Riggins jealous we don't really know but she definitely seems to be seeking out attention wherever she can get it and we're not totally...there's no clear reason why or what's going on in her life or what her background is like but she definitely seems to be looking for that...that kind of attention 
 and is probably jealous of of Lyla and Jason. At one point towards the end of I think episode 4 Tyra does break up with Riggins and she seems pretty upset about it you know she says they're going to break up for real if she gets into the car and then gets into the car and it's very dramatic and you know drives away and that seems to be it and she doesn't seem very happy about it"
SID000804,BuddyGarrity,"Buddy Garrity is the adult version of Smash Williams so in the same way that for Smash football is everything I think Buddy was very involved in football as a youth he was probably pretty good but I think it's dominated most of his life then and when he obviously graduated from high school he couldn't he didn't really have another passion for anything besides football  
 He runs a car dealership in the town but I think the whole point of that car dealership has something to do and away and uses the auxillary way to engage in the community and engage in the team. It's extremely important to him how well the team is doing and he'll be the first to criticize Coach Taylor or become involved even though he doesn't really have a reason to be so he's not
 on the coaching staff I don't think and but he went to go recruit Vodoo to the team because he wanted the team to do as well as possible even though he really has no incentive to be up late so it's not as great . People buy cars from him I think no matter how well the team is doing but he's still cares a lot about it and I think he cares so much about 
 the team that he doesn't really realize what else is going on with his wife or with Lyla. He wants to think of Lyla as kind of the perfect little southern belle the perfect cheerleader and have tons of surgical  Panther I think Lyla kind of fuses to justify what she does and who she is as a person even though those two might not be the same thing"
SID000804,CoachTaylor,"so Coach Taylor is definitely a family man I think above all he really cares about his team and his job and his family but I think he faces a lot of pressure to really do the best that he can and has lot of pressure from the town and the people in his life to prove himself in some way I think to me it seems like he has some mission to eventually 
 get a better job somewhere else or maybe work at a higher level within football but for the time being he really takes each player under his wing I think he's extremely strict but he does it out of a good place so he really cared about for example Matt Saracen and went to his house and went to understand his living situation and who he was as a person so that Matt could improve as a player 
 and that included introducing himself to Matt's Grandma. I think in some points he gets...he uses goals and his values so for example when they had the barbecue Coach Taylor to tell his wife and was stressed obviously about the big game coming up but I think left his wife feeling under-
 valued in that situation and was eventually apologetic but at the same time was just so concerned about what's happening in his life that he couldn't take a step back to realize what was going on within the lives of the people that he loves and cares about. yeah that is Coach Taylor"
SID000804,JasonStreet,"I would label Jason Street as a convicted dreamer he seems to have the best family background out of anyone else in the show his family seems to be extremely supportive and willing to help him reach his goals I think that was really clear before the accident in the first little bit of the first episode and after they're still trying to make his life as good as it can be once Jason had his accident and became
 paralyzed it threw everyone else for a loop but I think throughout that he's obviously angry and was dealing with it as anyone would when he is paralyzed but he kept an extremely strong head on his shoulder...his shoulders and really only had the one moment of backlash and that was that Lyla when she insisted that he was going to get better and he'd already accepted and realized that he isn't
 going to get better and realized that was not a healthy way to approach the situation moving forward I think she is going to find another way to transition kind of his again conviction and willingness to work really hard to reach a goal and something else later in the show. If he's like his roommate is involved in some sort of wheelchair sport I would guess that Jason is probably going to get involved in that and probably
 kind of use his aggression and deep set intelligence to excel in that and in the same way he'll continue to move forward and deal with what's happening in his life because of the accident I think he's going to keep moving forward and he isn't going to let even paralysis stop him from trying to be the best person he could be"
