SID,character,dimension,rating
SID000791,SmashWilliams,appearance,50
SID000791,TamiTaylor,appearance,60
SID000791,TimRiggins,appearance,53
SID000791,TyraCollette,appearance,65
SID000791,BuddyGarrity,attractive,18
SID000791,CoachTaylor,attractive,65
SID000791,JasonStreet,attractive,56
SID000791,JulieTaylor,attractive,50
SID000791,LandryClarke,attractive,43
SID000791,LylaGarrity,attractive,59
SID000791,MattSaracen,attractive,44
SID000791,SmashWilliams,attractive,54
SID000791,TamiTaylor,attractive,43
SID000791,TimRiggins,attractive,57
SID000791,TyraCollette,attractive,53
SID000791,BuddyGarrity,brag,70
SID000791,CoachTaylor,brag,39
SID000791,JasonStreet,brag,36
SID000791,JulieTaylor,brag,43
SID000791,LandryClarke,brag,57
SID000791,LylaGarrity,brag,35
SID000791,MattSaracen,brag,44
SID000791,SmashWilliams,brag,67
SID000791,TamiTaylor,brag,29
SID000791,TimRiggins,brag,34
SID000791,TyraCollette,brag,35
SID000791,BuddyGarrity,charismatic,26
SID000791,CoachTaylor,charismatic,72
SID000791,JasonStreet,charismatic,73
SID000791,JulieTaylor,charismatic,73
SID000791,LandryClarke,charismatic,57
SID000791,LylaGarrity,charismatic,63
SID000791,MattSaracen,charismatic,81
SID000791,SmashWilliams,charismatic,43
SID000791,TamiTaylor,charismatic,75
SID000791,TimRiggins,charismatic,50
SID000791,TyraCollette,charismatic,56
SID000791,BuddyGarrity,empathy,23
SID000791,CoachTaylor,empathy,69
SID000791,JasonStreet,empathy,59
SID000791,JulieTaylor,empathy,66
SID000791,LandryClarke,empathy,50
SID000791,LylaGarrity,empathy,76
SID000791,MattSaracen,empathy,77
SID000791,SmashWilliams,empathy,46
SID000791,TamiTaylor,empathy,80
SID000791,TimRiggins,empathy,43
SID000791,TyraCollette,empathy,72
SID000791,BuddyGarrity,funny,42
SID000791,CoachTaylor,funny,64
SID000791,JasonStreet,funny,32
SID000791,JulieTaylor,funny,65
SID000791,LandryClarke,funny,58
SID000791,LylaGarrity,funny,63
SID000791,MattSaracen,funny,60
SID000791,SmashWilliams,funny,50
SID000791,TamiTaylor,funny,81
SID000791,TimRiggins,funny,50
SID000791,TyraCollette,funny,57
SID000791,BuddyGarrity,hardworking,70
SID000791,CoachTaylor,hardworking,86
SID000791,JasonStreet,hardworking,77
SID000791,JulieTaylor,hardworking,60
SID000791,LandryClarke,hardworking,50
SID000791,LylaGarrity,hardworking,67
SID000791,MattSaracen,hardworking,86
SID000791,SmashWilliams,hardworking,66
SID000791,TamiTaylor,hardworking,67
SID000791,TimRiggins,hardworking,35
SID000791,TyraCollette,hardworking,50
SID000791,BuddyGarrity,impulsive,58
SID000791,CoachTaylor,impulsive,57
SID000791,JasonStreet,impulsive,43
SID000791,JulieTaylor,impulsive,41
SID000791,LandryClarke,impulsive,50
SID000791,LylaGarrity,impulsive,50
SID000791,MattSaracen,impulsive,73
SID000791,SmashWilliams,impulsive,61
SID000791,TamiTaylor,impulsive,35
SID000791,TimRiggins,impulsive,64
SID000791,TyraCollette,impulsive,46
SID000791,BuddyGarrity,independent,81
SID000791,CoachTaylor,independent,74
SID000791,JasonStreet,independent,61
SID000791,JulieTaylor,independent,57
SID000791,LandryClarke,independent,31
SID000791,LylaGarrity,independent,74
SID000791,MattSaracen,independent,64
SID000791,SmashWilliams,independent,68
SID000791,TamiTaylor,independent,71
SID000791,TimRiggins,independent,55
SID000791,TyraCollette,independent,76
SID000791,BuddyGarrity,intelligent,50
SID000791,CoachTaylor,intelligent,77
SID000791,JasonStreet,intelligent,78
SID000791,JulieTaylor,intelligent,69
SID000791,LandryClarke,intelligent,40
SID000791,LylaGarrity,intelligent,62
SID000791,MattSaracen,intelligent,84
SID000791,SmashWilliams,intelligent,50
SID000791,TamiTaylor,intelligent,76
SID000791,TimRiggins,intelligent,47
SID000791,TyraCollette,intelligent,58
SID000791,BuddyGarrity,outgoing,58
SID000791,CoachTaylor,outgoing,69
SID000791,JasonStreet,outgoing,61
SID000791,JulieTaylor,outgoing,72
SID000791,LandryClarke,outgoing,55
SID000791,LylaGarrity,outgoing,75
SID000791,MattSaracen,outgoing,43
SID000791,SmashWilliams,outgoing,55
SID000791,TamiTaylor,outgoing,68
SID000791,TimRiggins,outgoing,58
SID000791,TyraCollette,outgoing,67
SID000791,BuddyGarrity,romantic,50
SID000791,CoachTaylor,romantic,63
SID000791,JasonStreet,romantic,50
SID000791,JulieTaylor,romantic,68
SID000791,LandryClarke,romantic,68
SID000791,LylaGarrity,romantic,68
SID000791,MattSaracen,romantic,74
SID000791,SmashWilliams,romantic,50
SID000791,TamiTaylor,romantic,50
SID000791,TimRiggins,romantic,62
SID000791,TyraCollette,romantic,63
SID000791,BuddyGarrity,stubborn,84
SID000791,CoachTaylor,stubborn,75
SID000791,JasonStreet,stubborn,69
SID000791,JulieTaylor,stubborn,63
SID000791,LandryClarke,stubborn,54
SID000791,LylaGarrity,stubborn,84
SID000791,MattSaracen,stubborn,88
SID000791,SmashWilliams,stubborn,78
SID000791,TamiTaylor,stubborn,68
SID000791,TimRiggins,stubborn,92
SID000791,TyraCollette,stubborn,74
SID000791,BuddyGarrity,trustworthy,58
SID000791,CoachTaylor,trustworthy,87
SID000791,JasonStreet,trustworthy,70
SID000791,JulieTaylor,trustworthy,63
SID000791,LandryClarke,trustworthy,50
SID000791,LylaGarrity,trustworthy,83
SID000791,MattSaracen,trustworthy,50
SID000791,SmashWilliams,trustworthy,51
SID000791,TamiTaylor,trustworthy,77
SID000791,TimRiggins,trustworthy,50
SID000791,TyraCollette,trustworthy,57
SID000134,BuddyGarrity,annoy,94
SID000134,CoachTaylor,annoy,20
SID000134,JasonStreet,annoy,76
SID000134,JulieTaylor,annoy,32
SID000134,LandryClarke,annoy,41
SID000134,LylaGarrity,annoy,64
SID000134,MattSaracen,annoy,36
SID000134,SmashWilliams,annoy,32
SID000134,TamiTaylor,annoy,29
SID000134,TimRiggins,annoy,37
SID000134,TyraCollette,annoy,60
SID000134,BuddyGarrity,appearance,57
SID000134,CoachTaylor,appearance,42
SID000134,JasonStreet,appearance,72
SID000134,JulieTaylor,appearance,68
SID000134,LandryClarke,appearance,33
SID000134,LylaGarrity,appearance,81
SID000134,MattSaracen,appearance,37
SID000134,SmashWilliams,appearance,60
SID000134,TamiTaylor,appearance,63
SID000134,TimRiggins,appearance,73
SID000134,TyraCollette,appearance,70
SID000134,BuddyGarrity,attractive,19
SID000134,CoachTaylor,attractive,55
SID000134,JasonStreet,attractive,44
SID000134,JulieTaylor,attractive,67
SID000134,LandryClarke,attractive,13
SID000134,LylaGarrity,attractive,57
SID000134,MattSaracen,attractive,60
SID000134,SmashWilliams,attractive,67
SID000134,TamiTaylor,attractive,67
SID000134,TimRiggins,attractive,70
SID000134,TyraCollette,attractive,68
SID000134,BuddyGarrity,brag,57
SID000134,CoachTaylor,brag,46
SID000134,JasonStreet,brag,73
SID000134,JulieTaylor,brag,32
SID000134,LandryClarke,brag,28
SID000134,LylaGarrity,brag,59
SID000134,MattSaracen,brag,21
SID000134,SmashWilliams,brag,57
SID000134,TamiTaylor,brag,54
SID000134,TimRiggins,brag,62
SID000134,TyraCollette,brag,59
SID000134,BuddyGarrity,charismatic,45
SID000134,CoachTaylor,charismatic,74
SID000134,JasonStreet,charismatic,31
SID000134,JulieTaylor,charismatic,43
SID000134,LandryClarke,charismatic,33
SID000134,LylaGarrity,charismatic,38
SID000134,MattSaracen,charismatic,37
SID000134,SmashWilliams,charismatic,68
SID000134,TamiTaylor,charismatic,56
SID000134,TimRiggins,charismatic,39
SID000134,TyraCollette,charismatic,51
SID000134,BuddyGarrity,empathy,31
SID000134,CoachTaylor,empathy,58
SID000134,JasonStreet,empathy,45
SID000134,JulieTaylor,empathy,71
SID000134,LandryClarke,empathy,69
SID000134,LylaGarrity,empathy,66
SID000134,MattSaracen,empathy,65
SID000134,SmashWilliams,empathy,62
SID000134,TamiTaylor,empathy,71
SID000134,TimRiggins,empathy,19
SID000134,TyraCollette,empathy,47
SID000134,BuddyGarrity,funny,12
SID000134,CoachTaylor,funny,60
SID000134,JasonStreet,funny,32
SID000134,JulieTaylor,funny,56
SID000134,LandryClarke,funny,54
SID000134,LylaGarrity,funny,32
SID000134,MattSaracen,funny,55
SID000134,SmashWilliams,funny,60
SID000134,TamiTaylor,funny,62
SID000134,TimRiggins,funny,39
SID000134,TyraCollette,funny,44
SID000134,BuddyGarrity,hardworking,35
SID000134,CoachTaylor,hardworking,97
SID000134,JasonStreet,hardworking,43
SID000134,JulieTaylor,hardworking,66
SID000134,LandryClarke,hardworking,63
SID000134,LylaGarrity,hardworking,40
SID000134,MattSaracen,hardworking,94
SID000134,SmashWilliams,hardworking,68
SID000134,TamiTaylor,hardworking,84
SID000134,TimRiggins,hardworking,31
SID000134,TyraCollette,hardworking,44
SID000134,BuddyGarrity,impulsive,69
SID000134,CoachTaylor,impulsive,39
SID000134,JasonStreet,impulsive,60
SID000134,JulieTaylor,impulsive,36
SID000134,LandryClarke,impulsive,57
SID000134,LylaGarrity,impulsive,31
SID000134,MattSaracen,impulsive,35
SID000134,SmashWilliams,impulsive,63
SID000134,TamiTaylor,impulsive,44
SID000134,TimRiggins,impulsive,73
SID000134,TyraCollette,impulsive,58
SID000134,BuddyGarrity,independent,75
SID000134,CoachTaylor,independent,61
SID000134,JasonStreet,independent,32
SID000134,JulieTaylor,independent,35
SID000134,LandryClarke,independent,37
SID000134,LylaGarrity,independent,34
SID000134,MattSaracen,independent,77
SID000134,SmashWilliams,independent,71
SID000134,TamiTaylor,independent,57
SID000134,TimRiggins,independent,70
SID000134,TyraCollette,independent,75
SID000134,BuddyGarrity,intelligent,27
SID000134,CoachTaylor,intelligent,85
SID000134,JasonStreet,intelligent,41
SID000134,JulieTaylor,intelligent,68
SID000134,LandryClarke,intelligent,44
SID000134,LylaGarrity,intelligent,32
SID000134,MattSaracen,intelligent,75
SID000134,SmashWilliams,intelligent,62
SID000134,TamiTaylor,intelligent,66
SID000134,TimRiggins,intelligent,38
SID000134,TyraCollette,intelligent,43
SID000134,BuddyGarrity,outgoing,41
SID000134,CoachTaylor,outgoing,58
SID000134,JasonStreet,outgoing,52
SID000134,JulieTaylor,outgoing,57
SID000134,LandryClarke,outgoing,53
SID000134,LylaGarrity,outgoing,38
SID000134,MattSaracen,outgoing,38
SID000134,SmashWilliams,outgoing,72
SID000134,TamiTaylor,outgoing,45
SID000134,TimRiggins,outgoing,40
SID000134,TyraCollette,outgoing,56
SID000134,BuddyGarrity,romantic,56
SID000134,CoachTaylor,romantic,56
SID000134,JasonStreet,romantic,66
SID000134,JulieTaylor,romantic,42
SID000134,LandryClarke,romantic,46
SID000134,LylaGarrity,romantic,54
SID000134,MattSaracen,romantic,44
SID000134,SmashWilliams,romantic,79
SID000134,TamiTaylor,romantic,56
SID000134,TimRiggins,romantic,63
SID000134,TyraCollette,romantic,81
SID000134,BuddyGarrity,stubborn,77
SID000134,CoachTaylor,stubborn,62
SID000134,JasonStreet,stubborn,83
SID000134,JulieTaylor,stubborn,35
SID000134,LandryClarke,stubborn,37
SID000134,LylaGarrity,stubborn,57
SID000134,MattSaracen,stubborn,55
SID000134,SmashWilliams,stubborn,61
SID000134,TamiTaylor,stubborn,55
SID000134,TimRiggins,stubborn,70
SID000134,TyraCollette,stubborn,63
SID000134,BuddyGarrity,trustworthy,17
SID000134,CoachTaylor,trustworthy,74
SID000134,JasonStreet,trustworthy,43
SID000134,JulieTaylor,trustworthy,79
SID000134,LandryClarke,trustworthy,81
SID000134,LylaGarrity,trustworthy,46
SID000134,MattSaracen,trustworthy,89
SID000134,SmashWilliams,trustworthy,60
SID000134,TamiTaylor,trustworthy,85
SID000134,TimRiggins,trustworthy,31
SID000134,TyraCollette,trustworthy,39
SID000804,BuddyGarrity,annoy,80
SID000804,CoachTaylor,annoy,30
SID000804,JasonStreet,annoy,14
SID000804,JulieTaylor,annoy,9
SID000804,LandryClarke,annoy,31
SID000804,LylaGarrity,annoy,100
SID000804,MattSaracen,annoy,23
SID000804,SmashWilliams,annoy,32
SID000804,TamiTaylor,annoy,0
SID000804,TimRiggins,annoy,13
SID000804,TyraCollette,annoy,40
SID000804,BuddyGarrity,appearance,16
SID000804,CoachTaylor,appearance,66
SID000804,JasonStreet,appearance,37
SID000804,JulieTaylor,appearance,64
SID000804,LandryClarke,appearance,22
SID000804,LylaGarrity,appearance,100
SID000804,MattSaracen,appearance,65
SID000804,SmashWilliams,appearance,66
SID000804,TamiTaylor,appearance,60
SID000804,TimRiggins,appearance,1
SID000804,TyraCollette,appearance,76
SID000804,BuddyGarrity,attractive,0
SID000804,CoachTaylor,attractive,50
SID000804,JasonStreet,attractive,77
SID000804,JulieTaylor,attractive,66
SID000804,LandryClarke,attractive,36
SID000804,LylaGarrity,attractive,58
SID000804,MattSaracen,attractive,56
SID000804,SmashWilliams,attractive,62
SID000804,TamiTaylor,attractive,53
SID000804,TimRiggins,attractive,54
SID000804,TyraCollette,attractive,55
SID000804,BuddyGarrity,brag,84
SID000804,CoachTaylor,brag,2
SID000804,JasonStreet,brag,26
SID000804,JulieTaylor,brag,36
SID000804,LandryClarke,brag,34
SID000804,LylaGarrity,brag,98
SID000804,MattSaracen,brag,5
SID000804,SmashWilliams,brag,98
SID000804,TamiTaylor,brag,6
SID000804,TimRiggins,brag,31
SID000804,TyraCollette,brag,54
SID000804,BuddyGarrity,charismatic,18
SID000804,CoachTaylor,charismatic,100
SID000804,JasonStreet,charismatic,58
SID000804,JulieTaylor,charismatic,42
SID000804,LandryClarke,charismatic,63
SID000804,LylaGarrity,charismatic,0
SID000804,MattSaracen,charismatic,38
SID000804,SmashWilliams,charismatic,61
SID000804,TamiTaylor,charismatic,100
SID000804,TimRiggins,charismatic,62
SID000804,TyraCollette,charismatic,59
SID000804,BuddyGarrity,empathy,26
SID000804,CoachTaylor,empathy,74
SID000804,JasonStreet,empathy,73
SID000804,JulieTaylor,empathy,76
SID000804,LandryClarke,empathy,68
SID000804,LylaGarrity,empathy,45
SID000804,MattSaracen,empathy,85
SID000804,SmashWilliams,empathy,37
SID000804,TamiTaylor,empathy,100
SID000804,TimRiggins,empathy,33
SID000804,TyraCollette,empathy,63
SID000804,BuddyGarrity,funny,11
SID000804,CoachTaylor,funny,70
SID000804,JasonStreet,funny,27
SID000804,JulieTaylor,funny,42
SID000804,LandryClarke,funny,95
SID000804,LylaGarrity,funny,0
SID000804,MattSaracen,funny,11
SID000804,SmashWilliams,funny,67
SID000804,TamiTaylor,funny,80
SID000804,TimRiggins,funny,29
SID000804,TyraCollette,funny,68
SID000804,BuddyGarrity,hardworking,65
SID000804,CoachTaylor,hardworking,91
SID000804,JasonStreet,hardworking,99
SID000804,JulieTaylor,hardworking,95
SID000804,LandryClarke,hardworking,92
SID000804,LylaGarrity,hardworking,58
SID000804,MattSaracen,hardworking,100
SID000804,SmashWilliams,hardworking,86
SID000804,TamiTaylor,hardworking,100
SID000804,TimRiggins,hardworking,68
SID000804,TyraCollette,hardworking,67
SID000804,BuddyGarrity,impulsive,93
SID000804,CoachTaylor,impulsive,56
SID000804,JasonStreet,impulsive,40
SID000804,JulieTaylor,impulsive,17
SID000804,LandryClarke,impulsive,62
SID000804,LylaGarrity,impulsive,96
SID000804,MattSaracen,impulsive,59
SID000804,SmashWilliams,impulsive,74
SID000804,TamiTaylor,impulsive,10
SID000804,TimRiggins,impulsive,59
SID000804,TyraCollette,impulsive,68
SID000804,BuddyGarrity,independent,99
SID000804,CoachTaylor,independent,69
SID000804,JasonStreet,independent,73
SID000804,JulieTaylor,independent,43
SID000804,LandryClarke,independent,44
SID000804,LylaGarrity,independent,43
SID000804,MattSaracen,independent,97
SID000804,SmashWilliams,independent,97
SID000804,TamiTaylor,independent,72
SID000804,TimRiggins,independent,99
SID000804,TyraCollette,independent,100
SID000804,BuddyGarrity,intelligent,70
SID000804,CoachTaylor,intelligent,99
SID000804,JasonStreet,intelligent,86
SID000804,JulieTaylor,intelligent,91
SID000804,LandryClarke,intelligent,98
SID000804,LylaGarrity,intelligent,10
SID000804,MattSaracen,intelligent,84
SID000804,SmashWilliams,intelligent,62
SID000804,TamiTaylor,intelligent,100
SID000804,TimRiggins,intelligent,41
SID000804,TyraCollette,intelligent,67
SID000804,BuddyGarrity,outgoing,88
SID000804,CoachTaylor,outgoing,99
SID000804,JasonStreet,outgoing,91
SID000804,JulieTaylor,outgoing,29
SID000804,LandryClarke,outgoing,23
SID000804,LylaGarrity,outgoing,91
SID000804,MattSaracen,outgoing,25
SID000804,SmashWilliams,outgoing,86
SID000804,TamiTaylor,outgoing,42
SID000804,TimRiggins,outgoing,88
SID000804,TyraCollette,outgoing,99
SID000804,BuddyGarrity,romantic,1
SID000804,CoachTaylor,romantic,66
SID000804,JasonStreet,romantic,78
SID000804,JulieTaylor,romantic,25
SID000804,LandryClarke,romantic,32
SID000804,LylaGarrity,romantic,98
SID000804,MattSaracen,romantic,65
SID000804,SmashWilliams,romantic,96
SID000804,TamiTaylor,romantic,53
SID000804,TimRiggins,romantic,91
SID000804,TyraCollette,romantic,93
SID000804,BuddyGarrity,stubborn,93
SID000804,CoachTaylor,stubborn,68
SID000804,JasonStreet,stubborn,66
SID000804,JulieTaylor,stubborn,65
SID000804,LandryClarke,stubborn,40
SID000804,LylaGarrity,stubborn,100
SID000804,MattSaracen,stubborn,59
SID000804,SmashWilliams,stubborn,100
SID000804,TamiTaylor,stubborn,71
SID000804,TimRiggins,stubborn,84
SID000804,TyraCollette,stubborn,100
SID000804,BuddyGarrity,trustworthy,19
SID000804,CoachTaylor,trustworthy,92
SID000804,JasonStreet,trustworthy,77
SID000804,JulieTaylor,trustworthy,75
SID000804,LandryClarke,trustworthy,64
SID000804,LylaGarrity,trustworthy,18
SID000804,MattSaracen,trustworthy,92
SID000804,SmashWilliams,trustworthy,50
SID000804,TamiTaylor,trustworthy,99
SID000804,TimRiggins,trustworthy,44
SID000804,TyraCollette,trustworthy,28
SID000435,BuddyGarrity,annoy,82
SID000435,CoachTaylor,annoy,0
SID000435,JasonStreet,annoy,34
SID000435,JulieTaylor,annoy,18
SID000435,LandryClarke,annoy,57
SID000435,LylaGarrity,annoy,100
SID000435,MattSaracen,annoy,0
SID000435,SmashWilliams,annoy,69
SID000435,TamiTaylor,annoy,0
SID000435,TimRiggins,annoy,58
SID000435,TyraCollette,annoy,38
SID000435,BuddyGarrity,appearance,90
SID000435,CoachTaylor,appearance,87
SID000435,JasonStreet,appearance,93
SID000435,JulieTaylor,appearance,84
SID000435,LandryClarke,appearance,30
SID000435,LylaGarrity,appearance,100
SID000435,MattSaracen,appearance,64
SID000435,SmashWilliams,appearance,88
SID000435,TamiTaylor,appearance,98
SID000435,TimRiggins,appearance,19
SID000435,TyraCollette,appearance,96
SID000435,BuddyGarrity,attractive,0
SID000435,CoachTaylor,attractive,61
SID000435,JasonStreet,attractive,79
SID000435,JulieTaylor,attractive,70
SID000435,LandryClarke,attractive,10
SID000435,LylaGarrity,attractive,34
SID000435,MattSaracen,attractive,58
SID000435,SmashWilliams,attractive,39
SID000435,TamiTaylor,attractive,62
SID000435,TimRiggins,attractive,99
SID000435,TyraCollette,attractive,92
SID000435,BuddyGarrity,brag,100
SID000435,CoachTaylor,brag,32
SID000435,JasonStreet,brag,19
SID000435,JulieTaylor,brag,34
SID000435,LandryClarke,brag,71
SID000435,LylaGarrity,brag,66
SID000435,MattSaracen,brag,0
SID000435,SmashWilliams,brag,100
SID000435,TamiTaylor,brag,27
SID000435,TimRiggins,brag,60
SID000435,TyraCollette,brag,63
SID000435,BuddyGarrity,charismatic,76
SID000435,CoachTaylor,charismatic,36
SID000435,JasonStreet,charismatic,100
SID000435,JulieTaylor,charismatic,40
SID000435,LandryClarke,charismatic,12
SID000435,LylaGarrity,charismatic,74
SID000435,MattSaracen,charismatic,35
SID000435,SmashWilliams,charismatic,96
SID000435,TamiTaylor,charismatic,76
SID000435,TimRiggins,charismatic,37
SID000435,TyraCollette,charismatic,69
SID000435,BuddyGarrity,empathy,22
SID000435,CoachTaylor,empathy,75
SID000435,JasonStreet,empathy,100
SID000435,JulieTaylor,empathy,82
SID000435,LandryClarke,empathy,50
SID000435,LylaGarrity,empathy,76
SID000435,MattSaracen,empathy,77
SID000435,SmashWilliams,empathy,17
SID000435,TamiTaylor,empathy,100
SID000435,TimRiggins,empathy,18
SID000435,TyraCollette,empathy,88
SID000435,BuddyGarrity,funny,0
SID000435,CoachTaylor,funny,64
SID000435,JasonStreet,funny,74
SID000435,JulieTaylor,funny,84
SID000435,LandryClarke,funny,75
SID000435,LylaGarrity,funny,4
SID000435,MattSaracen,funny,59
SID000435,SmashWilliams,funny,26
SID000435,TamiTaylor,funny,71
SID000435,TimRiggins,funny,63
SID000435,TyraCollette,funny,34
SID000435,BuddyGarrity,hardworking,93
